slug	platform	format	unit_id
loopwits	android	banner	ca-app-pub-2504845459806550/9244953632
loopwits	android	interstitial	ca-app-pub-2504845459806550/6618790291
loopwits	android	rewarded	ca-app-pub-2504845459806550/6772859651
poursort	ios	banner	ca-app-pub-2504845459806550/2370580212
poursort	ios	interstitial	ca-app-pub-2504845459806550/6730470936
poursort	ios	rewarded	ca-app-pub-2504845459806550/2439872132
poursort	android	banner	ca-app-pub-2504845459806550/9625806594
poursort	android	interstitial	ca-app-pub-2504845459806550/1057498540
poursort	android	rewarded	ca-app-pub-2504845459806550/3227919200
foldup	ios	banner	ca-app-pub-2504845459806550/9053381944
foldup	ios	interstitial	ca-app-pub-2504845459806550/8744416873
foldup	ios	rewarded	ca-app-pub-2504845459806550/1520532972
foldup	android	banner	ca-app-pub-2504845459806550/7500627128
foldup	android	interstitial	ca-app-pub-2504845459806550/7431335202
foldup	android	rewarded	ca-app-pub-2504845459806550/1174891927
knotter	ios	banner	ca-app-pub-2504845459806550/5686561587
knotter	ios	interstitial	ca-app-pub-2504845459806550/9464445484
knotter	ios	rewarded	ca-app-pub-2504845459806550/6581287967
knotter	android	banner	ca-app-pub-2504845459806550/4805171863
knotter	android	interstitial	ca-app-pub-2504845459806550/7548728589
knotter	android	rewarded	ca-app-pub-2504845459806550/8288674199
wordflock	ios	banner	ca-app-pub-2504845459806550/5525200472
wordflock	ios	interstitial	ca-app-pub-2504845459806550/4212118809
wordflock	ios	rewarded	ca-app-pub-2504845459806550/3955124629
wordflock	android	banner	ca-app-pub-2504845459806550/2954877453
wordflock	android	interstitial	ca-app-pub-2504845459806550/3561382117
wordflock	android	rewarded	ca-app-pub-2504845459806550/9272873790
minestreak	ios	banner	ca-app-pub-2504845459806550/2296401903
minestreak	ios	interstitial	ca-app-pub-2504845459806550/9983320235
minestreak	ios	rewarded	ca-app-pub-2504845459806550/8622137104
minestreak	android	banner	ca-app-pub-2504845459806550/7357156890
minestreak	android	interstitial	ca-app-pub-2504845459806550/9865926858
minestreak	android	rewarded	ca-app-pub-2504845459806550/3036347519
loopwits	ios	banner	ca-app-pub-2504845459806550/2346082377
loopwits	ios	interstitial	ca-app-pub-2504845459806550/5826162386
loopwits	ios	rewarded	ca-app-pub-2504845459806550/6259697646
toppl	ios	banner	ca-app-pub-2504845459806550/1033000700
toppl	ios	interstitial	ca-app-pub-2504845459806550/8719919039
toppl	ios	rewarded	ca-app-pub-2504845459806550/1611585205
toppl	android	banner	ca-app-pub-2504845459806550/5156525658
toppl	android	interstitial	ca-app-pub-2504845459806550/8600946640
toppl	android	rewarded	ca-app-pub-2504845459806550/4946615974
solari	ios	banner	ca-app-pub-2504845459806550/2342660052
solari	ios	interstitial	ca-app-pub-2504845459806550/6093755697
solari	ios	rewarded	ca-app-pub-2504845459806550/5467069737
solari	android	banner	ca-app-pub-2504845459806550/1029578384
solari	android	interstitial	ca-app-pub-2504845459806550/3843443983
solari	android	rewarded	ca-app-pub-2504845459806550/8441164544
poplet	ios	banner	ca-app-pub-2504845459806550/3199999046
poplet	ios	interstitial	ca-app-pub-2504845459806550/1007370965
poplet	ios	rewarded	ca-app-pub-2504845459806550/7985421868
poplet	android	banner	ca-app-pub-2504845459806550/7128082879
poplet	android	interstitial	ca-app-pub-2504845459806550/3348619966
poplet	android	rewarded	ca-app-pub-2504845459806550/7591117304
quandary	ios	banner	ca-app-pub-2504845459806550/3651872298
quandary	ios	interstitial	ca-app-pub-2504845459806550/8409374955
quandary	ios	rewarded	ca-app-pub-2504845459806550/1962938993
quandary	android	banner	ca-app-pub-2504845459806550/5783211615
quandary	android	interstitial	ca-app-pub-2504845459806550/9649857329
quandary	android	rewarded	ca-app-pub-2504845459806550/8336775654
flipnest	ios	banner	ca-app-pub-2504845459806550/4477421696
flipnest	ios	interstitial	ca-app-pub-2504845459806550/5359258520
flipnest	ios	rewarded	ca-app-pub-2504845459806550/7381207621
flipnest	android	banner	ca-app-pub-2504845459806550/4755044281
flipnest	android	interstitial	ca-app-pub-2504845459806550/3164340022
flipnest	android	rewarded	ca-app-pub-2504845459806550/4397530643
quiktap	ios	banner	ca-app-pub-2504845459806550/7793850174
quiktap	ios	interstitial	ca-app-pub-2504845459806550/6936511187
quiktap	ios	rewarded	ca-app-pub-2504845459806550/5623429516
quiktap	android	banner	ca-app-pub-2504845459806550/9975581378
quiktap	android	interstitial	ca-app-pub-2504845459806550/1771367300
quiktap	android	rewarded	ca-app-pub-2504845459806550/9458285637
convertwise	ios	interstitial	ca-app-pub-2504845459806550/4060734700
convertwise	ios	rewarded	ca-app-pub-2504845459806550/5022462589
convertwise	ios	banner	ca-app-pub-2504845459806550/6686898046
convertwise	android	interstitial	ca-app-pub-2504845459806550/4217656533
convertwise	android	rewarded	ca-app-pub-2504845459806550/4830890899
convertwise	android	banner	ca-app-pub-2504845459806550/6143972565
splitjar	ios	interstitial	ca-app-pub-2504845459806550/2904574869
splitjar	ios	rewarded	ca-app-pub-2504845459806550/6495326355
splitjar	ios	banner	ca-app-pub-2504845459806550/7808408029
splitjar	android	rewarded	ca-app-pub-2504845459806550/1591493195
splitjar	android	interstitial	ca-app-pub-2504845459806550/3517809223
splitjar	android	banner	ca-app-pub-2504845459806550/5182244683
spinwit	ios	banner	ca-app-pub-2504845459806550/2285627761
spinwit	ios	rewarded	ca-app-pub-2504845459806550/6614745859
spinwit	ios	interstitial	ca-app-pub-2504845459806550/9972546093
spinwit	android	interstitial	ca-app-pub-2504845459806550/2204727552
spinwit	android	rewarded	ca-app-pub-2504845459806550/8344603809
spinwit	android	banner	ca-app-pub-2504845459806550/9278411524
calcpair	ios	interstitial	ca-app-pub-2504845459806550/7316172178
calcpair	ios	rewarded	ca-app-pub-2504845459806550/8467892734
calcpair	ios	banner	ca-app-pub-2504845459806550/8929918000
calcpair	android	banner	ca-app-pub-2504845459806550/2013155865
calcpair	android	interstitial	ca-app-pub-2504845459806550/5526868775
calcpair	android	rewarded	ca-app-pub-2504845459806550/9086839834
multitick	ios	rewarded	ca-app-pub-2504845459806550/2255417189
multitick	ios	banner	ca-app-pub-2504845459806550/2556081343
multitick	ios	interstitial	ca-app-pub-2504845459806550/5952400875
multitick	android	rewarded	ca-app-pub-2504845459806550/1779195456
multitick	android	interstitial	ca-app-pub-2504845459806550/3092277120
multitick	android	banner	ca-app-pub-2504845459806550/4639319201
dicewit	ios	banner	ca-app-pub-2504845459806550/5569257495
dicewit	ios	interstitial	ca-app-pub-2504845459806550/6391384572
dicewit	ios	rewarded	ca-app-pub-2504845459806550/9750763824
dicewit	android	interstitial	ca-app-pub-2504845459806550/4990672998
dicewit	android	rewarded	ca-app-pub-2504845459806550/6269104800
dicewit	android	banner	ca-app-pub-2504845459806550/7582186474
mergewit	ios	interstitial	ca-app-pub-2504845459806550/4447747511
mergewit	ios	rewarded	ca-app-pub-2504845459806550/6460676494
mergewit	ios	banner	ca-app-pub-2504845459806550/6582956262
mergewit	android	banner	ca-app-pub-2504845459806550/5147594821
mergewit	android	interstitial	ca-app-pub-2504845459806550/7154811063
mergewit	android	rewarded	ca-app-pub-2504845459806550/7736255832
memoflip	ios	interstitial	ca-app-pub-2504845459806550/3134665841
memoflip	ios	rewarded	ca-app-pub-2504845459806550/3376927169
memoflip	ios	banner	ca-app-pub-2504845459806550/3956792925
memoflip	android	interstitial	ca-app-pub-2504845459806550/2521431482
memoflip	android	rewarded	ca-app-pub-2504845459806550/2643711256
memoflip	android	banner	ca-app-pub-2504845459806550/6303754663
sudokly	ios	banner	ca-app-pub-2504845459806550/2900705431
sudokly	ios	rewarded	ca-app-pub-2504845459806550/3834513150
sudokly	ios	interstitial	ca-app-pub-2504845459806550/4942571532
sudokly	android	interstitial	ca-app-pub-2504845459806550/1587623766
sudokly	android	banner	ca-app-pub-2504845459806550/3629489860
sudokly	android	rewarded	ca-app-pub-2504845459806550/7616836334
klondo	ios	rewarded	ca-app-pub-2504845459806550/1208349812
klondo	ios	interstitial	ca-app-pub-2504845459806550/1330629582
klondo	ios	banner	ca-app-pub-2504845459806550/6423174161
klondo	android	interstitial	ca-app-pub-2504845459806550/2316408199
klondo	android	banner	ca-app-pub-2504845459806550/4528647725
klondo	android	rewarded	ca-app-pub-2504845459806550/9017547918
tapforge	ios	rewarded	ca-app-pub-2504845459806550/3677591322
tapforge	ios	interstitial	ca-app-pub-2504845459806550/4513170009
tapforge	ios	banner	ca-app-pub-2504845459806550/7124600489
tapforge	android	rewarded	ca-app-pub-2504845459806550/4498437147
tapforge	android	interstitial	ca-app-pub-2504845459806550/4956023132
tapforge	android	banner	ca-app-pub-2504845459806550/5811518810
ratherly	ios	banner	ca-app-pub-2504845459806550/8195420835
ratherly	ios	rewarded	ca-app-pub-2504845459806550/8452415011
ratherly	ios	interstitial	ca-app-pub-2504845459806550/9765496685
ratherly	android	banner	ca-app-pub-2504845459806550/1003326522
ratherly	android	interstitial	ca-app-pub-2504845459806550/4337076033
ratherly	android	rewarded	ca-app-pub-2504845459806550/6882339160
quizburst	ios	interstitial	ca-app-pub-2504845459806550/1821584172
quizburst	ios	rewarded	ca-app-pub-2504845459806550/2063845491
quizburst	ios	banner	ca-app-pub-2504845459806550/3391660028
quizburst	android	rewarded	ca-app-pub-2504845459806550/2078578354
quizburst	android	interstitial	ca-app-pub-2504845459806550/5650157703
quizburst	android	banner	ca-app-pub-2504845459806550/9508502508
namewell	ios	interstitial	ca-app-pub-2504845459806550/1242999670
namewell	ios	rewarded	ca-app-pub-2504845459806550/9780974403
namewell	ios	banner	ca-app-pub-2504845459806550/9942335516
namewell	android	rewarded	ca-app-pub-2504845459806550/1399921508
namewell	android	interstitial	ca-app-pub-2504845459806550/5461446283
namewell	android	banner	ca-app-pub-2504845459806550/8629253847
scanlit	ios	rewarded	ca-app-pub-2504845459806550/3598709433
scanlit	ios	interstitial	ca-app-pub-2504845459806550/4911791109
scanlit	ios	banner	ca-app-pub-2504845459806550/6194662196
scanlit	android	banner	ca-app-pub-2504845459806550/1970767142
scanlit	android	rewarded	ca-app-pub-2504845459806550/7457054236
scanlit	android	interstitial	ca-app-pub-2504845459806550/9657685472
trilite	ios	banner	ca-app-pub-2504845459806550/3988582513
trilite	ios	interstitial	ca-app-pub-2504845459806550/6774527958
trilite	ios	rewarded	ca-app-pub-2504845459806550/9891645881
trilite	android	interstitial	ca-app-pub-2504845459806550/5718440463
trilite	android	rewarded	ca-app-pub-2504845459806550/6033301083
trilite	android	banner	ca-app-pub-2504845459806550/7965329852
ringaway	ios	rewarded	ca-app-pub-2504845459806550/6255653207
ringaway	ios	interstitial	ca-app-pub-2504845459806550/8153032112
ringaway	ios	banner	ca-app-pub-2504845459806550/9466113786
ringaway	android	banner	ca-app-pub-2504845459806550/1362419176
ringaway	android	interstitial	ca-app-pub-2504845459806550/2094056071
ringaway	android	rewarded	ca-app-pub-2504845459806550/6839950442
