app	platform	admob_app_number
loopwits	ios	5555146751
loopwits	android	4327668870
poursort	ios	2876565410
poursort	android	3958994059
foldup	ios	9388423860
foldup	android	1805447313
knotter	ios	8179283974
knotter	android	4924144254
wordflock	ios	6762260526
wordflock	android	4136097182
minestreak	ios	7113614310
minestreak	android	7937320405
toppl	ios	5880423693
toppl	android	1440641925
solari	ios	3216758025
solari	android	2761015348
poplet	ios	2684993727
poplet	android	5688852006
quandary	ios	4375770333
quandary	android	7957501703
flipnest	ios	4240038965
flipnest	android	6644420039
quiktap	ios	8277513017
quiktap	android	9134852002
