slug	bundle	ascBundleIdId
scanlit	com.altixcode.scanlit	5HVT53726U
convertwise	com.altixcode.convertwise	5JG7CC72MG
splitjar	com.altixcode.splitjar	YDJ4H9DK5Z
spinwit	com.altixcode.spinwit	637SFWG5HY
trilite	com.altixcode.trilite	97LLL74L34
rectap	com.altixcode.rectap	T42FF7HATF
multitick	com.altixcode.multitick	YW94ZC2QQ6
ringaway	com.altixcode.ringaway	CG7QTS2B67
namewell	com.altixcode.namewell	4786B72FDH
calcpair	com.altixcode.calcpair	Y2A8C5J783
mergewit	com.altixcode.mergewit	5X7XLA59H4
sudokly	com.altixcode.sudokly	ZANWW3392K
memoflip	com.altixcode.memoflip	ZASD4P27Q3
klondo	com.altixcode.klondo	X2TV7ZYYJT
quizburst	com.altixcode.quizburst	BU8NAWVKCS
ratherly	com.altixcode.ratherly	X924H6MUX2
dicewit	com.altixcode.dicewit	WGR63P6AQQ
tapforge	com.altixcode.tapforge	TZSGT9F2D6
