slug	project	ios_app	android_app	entitlement	offering	package
scanlit	proj40c27060	appf92e65cbdf	appc7c7c29440	entled767d605e	ofrng4d786852e8	pkged036851858
convertwise	proj14c4c30d	app3e877125e1	appf226397ca2	entlf41f6a9691	ofrng72fcb4cc2b	pkge40ca627eb6
splitjar	proj05808841	app8975bf3849	appe9fed25093	entla8c70b3767	ofrng8ce58b811a	pkged27589c04a
spinwit	projeb29330b	app368824a94a	appb08881d6b6	entl906efdcf61	ofrng85df992b9d	pkgea12959e71f
trilite	proj66a7bef8	app25c440e460	appa938224607	entleec438045d	ofrngdd2ee0e4c6	pkgeaa6ef0bd95
rectap	proj8057cd05	app75874fd00b	app6ba4b2dec7	entld71cd4964d	ofrngdc4e40a187	pkgeed299c5788
multitick	proj394d7ace	appc9e2d6bda8	appae8995ff76	entla839252ff7	ofrng22f5413440	pkgebbfe40ca8b
ringaway	projbebed405	app36ddeaaff8	appc4be58e919	entlad499e51ff	ofrngc33cd71062	pkge3e29e29057
namewell	projac5bd776	app08cc0dfbc5	appb691fc731e	entl261d09dadb	ofrng9d9758f394	pkge8d2c9502d7
calcpair	proj8b1245ba	appfbc0e24fc0	app15df6e669e	entla1726bf645	ofrnge925003647	pkge07128d5ea3
mergewit	projc6a00202	app343a0957ff	app91d3967c2d	entl342f646d87	ofrng25d76b3114	pkge87997ac95d
sudokly	proj2b2add78	app32c06c7a16	appd79efcd100	entl161df18c09	ofrng33da03d153	pkgefbb351fb89
memoflip	projee497d76	app2e197b5e32	app05d4a6329a	entlefe4d4fc83	ofrng0d0f31d423	pkgeb3338e6161
klondo	proj57d25c58	appf047a92e1c	app0994877cf7	entl9d3a1c105c	ofrng414f7dafd5	pkge8af5da5fe5
quizburst	proj15cc7719	appebe87a33ce	app6a3c6c5367	entlee7fb5d109	ofrng00c8a5d6c9	pkgeb98afd8c1d
ratherly	proje96a8de8	appcc7779299e	appc4e7ab3aff	entl6add2e2886	ofrng81ead5201d	pkge2100f5978f
dicewit	projd33fe5c9	app85d858cb10	appdaac863438	entld6237001db	ofrng270f01c131	pkge43702fcec3
tapforge	projfe8a1141	app45b07e733c	app46513bd702	entl907c1b8446	ofrng65f4c0edb6	pkge9b88206475
