slug	package	playAppId
loopwits	com.altixcode.loopwits	4973782007385630202
poursort	com.altixcode.poursort	4973632927745261573
foldup	com.altixcode.foldup	4975660651897103031
knotter	com.altixcode.knotter	4972498830057513485
wordflock	com.altixcode.wordflock	4972776434971422690
minestreak	com.altixcode.minestreak	4973293870522646546
toppl	com.altixcode.toppl	4972779592764151419
solari	com.altixcode.solari	4975431439647452569
poplet	com.altixcode.poplet	PENDING — Play returned a generic server error, retry later
quandary	com.altixcode.quandary	PENDING — Play returned a generic server error, retry later
flipnest	com.altixcode.flipnest	PENDING — Play returned a generic server error, retry later
quiktap	com.altixcode.quiktap	PENDING — Play returned a generic server error, retry later
