slug	project	ios_app	android_app	entitlement	offering	package
loopwits	projc63c253e	app2e6e207887	app661d587d1f	entla127c6b79f	ofrng66b7ab802e	pkgea52ad63f3b
poursort	projdbd431b3	appd2f1ccdc8f	app51334840bd	entlb590bf715e	ofrng0e33b78846	pkge2c042a1075
foldup	proj2399cd52	app375efd28de	appab72030215	entl14dc19ee60	ofrng4c6a91e8d4	pkgefda2b45592
knotter	proj7fe62017	appd5f7f92b18	appabe76749c4	entle44e6f1fe2	ofrngd6ff9cc068	pkgeeb7e40e1ac
wordflock	proj8227d35f	appf5fc92387e	app4c1436e45d	entl1374376c4e	ofrng724cf43f54	pkgee109668077
minestreak	proj3d6aef8b	app38001d7a06	appb9498548cb	entlfe443a90f5	ofrnga0a01c6de4	pkgeedf13b4835
toppl	proj9206c33d	app0a998a8b8a	app05587ee11d	entl95d146c6bc	ofrngfd18d8e05c	pkgebc42094856
solari	proj87fde18c	appc957594e0b	app5b4e0cdea5	entl9af6b50165	ofrng3d6640239d	pkgeaacbddc3c7
poplet	proj0bef76ad	app53c812c3ff	app606a73cadf	entlbbf5a6bc49	ofrng8bc1ffa47b	pkgec7bb12b329
quandary	proj431718f9	app32b97c10e1	app7845aca696	entl07b903c1c4	ofrng481a7a249e	pkge50eee8a93e
flipnest	proj8e0a4783	app28e035bcb2	appc11e371842	entl2abe651615	ofrngadd2569fba	pkge5455316c1f
quiktap	projbfd3d198	app528d9230a9	appa1bdfcd36c	entlff28912fc2	ofrngc7fcc009da	pkge6ea9e1c2a9
